City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
209,Cayenne,GF,2022-10-10 17:06:30,4.9333,-52.3333,89.64,62,40,17.27
210,San Quintin,MX,2022-10-10 17:06:31,30.4833,-115.95,71.04,77,40,8.48
211,Bachaquero,VE,2022-10-10 17:06:31,9.9694,-71.1494,84.74,69,99,4.27
212,Rogaska Slatina,SI,2022-10-10 17:06:32,46.2375,15.6397,59.49,87,33,1.86
213,Koygorodok,RU,2022-10-10 17:06:32,60.445,50.9968,39.51,84,43,6.15
214,Dikson,RU,2022-10-10 17:06:33,73.5069,80.5464,34.52,99,100,12.33
215,Tura,IN,2022-10-10 17:06:33,25.5198,90.2201,71.65,96,47,3.51
216,Wattegama,LK,2022-10-10 17:06:34,6.7989,81.4808,76.46,88,89,3.33
217,Bonavista,CA,2022-10-10 17:06:34,48.6499,-53.1147,52.88,49,5,17.85
218,Polyanka,UA,2022-10-10 17:06:35,50.2584,27.6881,45.57,69,5,2.98
219,Tahta,EG,2022-10-10 17:02:25,26.7693,31.5021,80.44,33,0,9.8
220,Harper,LR,2022-10-10 17:06:36,4.375,-7.7169,79.9,79,57,7.54
221,Nouadhibou,MR,2022-10-10 17:06:36,20.931,-17.0347,72.1,89,40,21.88
222,Chardara,KZ,2022-10-10 17:06:37,41.2547,67.9692,59.05,27,0,10.31
223,Port Hedland,AU,2022-10-10 17:06:37,-20.3167,118.5667,73.45,64,2,9.22
224,Tarsus,TR,2022-10-10 17:06:38,36.9188,34.8784,77.38,57,0,6.55
225,Birao,CF,2022-10-10 17:06:38,10.2849,22.7882,76.82,75,46,4.12
226,Tual,ID,2022-10-10 17:06:39,-5.6667,132.75,82.72,76,100,11.54
227,Goderich,CA,2022-10-10 17:01:59,43.7501,-81.7165,52.92,53,82,10.18
228,Puerto Leguizamo,CO,2022-10-10 17:06:39,-0.1934,-74.7819,93.74,42,90,2.51
229,Provideniya,RU,2022-10-10 17:06:40,64.3833,-173.3,28.47,69,20,7.61
230,Grand Gaube,MU,2022-10-10 17:06:40,-20.0064,57.6608,72.37,69,4,5.01
231,Humaita,BR,2022-10-10 17:07:41,-7.5061,-63.0208,105.87,24,56,2.28
232,Edd,ER,2022-10-10 17:07:39,13.9297,41.6925,88.34,64,16,13.24
233,Sakaiminato,JP,2022-10-10 17:07:42,35.55,133.2333,61.11,58,98,21.9
234,Anloga,GH,2022-10-10 17:07:42,5.7947,0.8973,79.92,77,62,9.1
235,Praia Da Vitoria,PT,2022-10-10 17:07:43,38.7333,-27.0667,72.03,81,11,10.6
236,Ribeira Grande,PT,2022-10-10 17:07:43,38.5167,-28.7,77.4,73,20,12.66
237,Ibra,OM,2022-10-10 17:07:44,22.6906,58.5334,80.08,18,6,1.77
238,Jorochito,BO,2022-10-10 17:07:44,-18.05,-63.4333,66.87,34,100,2.51
239,Aginskoye,RU,2022-10-10 17:07:45,51.1,114.53,37.9,41,82,3.8
240,Geraldton,AU,2022-10-10 17:07:46,-28.7667,114.6,55.81,71,100,6.91
241,Pierre,US,2022-10-10 17:07:46,44.3683,-100.351,67.05,51,0,14.97
242,Tolmezzo,IT,2022-10-10 17:07:47,46.4075,13.0175,56.26,85,40,0.27
243,Grootfontein,NA,2022-10-10 17:07:47,-19.5667,18.1167,82.24,10,2,11.65
244,Namibe,AO,2022-10-10 17:07:48,-15.1961,12.1522,70.07,82,9,11.05
245,Vanimo,PG,2022-10-10 17:07:48,-2.6741,141.3028,77.63,88,99,3.47
246,Ginda,IN,2022-10-10 17:07:42,30.6945,78.4932,56.37,87,50,5.3
247,Carauari,BR,2022-10-10 17:04:44,-4.8828,-66.8958,98.82,34,66,1.59
248,Ilulissat,GL,2022-10-10 17:07:49,69.2167,-51.1,26.62,68,75,3.44
